,,,
Binary Classification,,,
Run ID,Model,F1-Score,LP F1-Score
run_19,LSTM,0.856,0.776
run_35,MAMBA,0.842,0.823
run_11,HYBRID,0.853,0.847
run_4,HYBRID_SERIAL_REV,0.862,0.847
run_5,HYBRID_PARALLEL,0.854,0.843
run_30,HYBRID_CROSSATTN,0.852,0.836
,,,
,,,
Multilabel Classification,,,
Run ID,Model,F1-Score,LP F1-Score
run_29,LSTM,0.728,0.586
run_25,MAMBA,0.718,0.664
run_1,HYBRID,0.719,0.717
run_23,HYBRID_SERIAL_REV,0.714,0.723
run_30,HYBRID_PARALLEL,0.701,0.683
run_62,HYBRID_CROSSATTN,0.71,0.712
